Sample_Name,AdultTag,Tube_label,Date_sample_collected,Sample_type,Individual_Number,Sample_weight_mg,Seedling_species,Soil_sample_number,Date_seedling_plated,Date_seedling_stored,Roots_box_position,Roots_sterile_box_positions,Stem_box_position,Stem_sterile_box_position,Leaves_box_position,Leaves_sterile_box_position,Seedling_collection_photo,Seedling_Collector,SequenceRoots,SequenceRootsSterile,SequenceStems,SequenceLeaves,Notes,Notes2
STRI_F_R042,1401,UR042,20191001,Unsterile root,1,17.2,DG,29,NA,20191002,B1_F5,NA,NA,E_H7,E_B2,E_B3,IMG_4877.JPG,JS,Yes,No,Yes,Yes,Fell over/broken by rainb,NA
STRI_O_R042,1401,UR043,20191001,Unsterile root,2,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_R092,1401,UR092,20191003,Unsterile root,1,32.3,DG,NA,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4936.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
STRI_F_L094,1401,L094,20191003,Sterile leaf,1,50.3,DG,NA,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4936.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
STRI_F_L203,1401,L203,20191001,Sterile leaf,2,46,HC,28,NA,20191002,B1_8F,A_I6,NA,E_H4,E_B8,E_B9,IMG_4871.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R201,1401,UR201,20191001,Unsterile root,2,46,HC,28,NA,20191002,B1_8F,A_I6,NA,E_H4,E_B8,E_B9,IMG_4871.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R151,1401,UR151,20190828,Unsterile root,4,3.6,HC,NA,NA,NA,1_D6,NA,S_D6,NA,L_D6,NA,IMG_4608.HEIC,DP,Yes,No,No,No,NA,NA
STRI_O_R151,1401,UR152,20190828,Unsterile root,5,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_R217,1401,UR217,20190814,Unsterile root,1,2.5,HC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Status unknown. No indication it was not healthy though,Status unknown. No indication it was not healthy though
STRI_F_R153,1401,UR153,20190828,Unsterile root,2,8,HT,NA,NA,NA,1_E4,NA,S_E4,NA,L_E4,NA,IMG_4607.HEIC,DP,Yes,No,No,No,NA,NA
STRI_F_L200,1401,L200,20191001,Sterile leaf,3,48,HT,34,NA,20191002,B1_2G,E_2,NA,E_H1,H_C5,H_C6,IMG_4873.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R152,1401,UR152,20190828,Unsterile root,5,2.1,HT,NA,NA,NA,1_G1,NA,S_G1,NA,L_H2,NA,IMG_4610.HEIC,DP,Yes,No,No,No,NA,NA
STRI_F_R238,1401,UR238,20190918,Unsterile root,8,13.1,HT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_R238,1401,UR238,20190918,Unsterile root,8,13.1,HT,NA,20190920,NA,B1_B10,A_A5,NA,S_H2,NA,L_G3,IMG_4752.JPG,RP,Yes,Yes,Yes,Yes,"Doesn't say N8 on the bag, but there is no 8 at 1401",NA
STRI_O_R238,1401,UR239,20190918,Unsterile root,9,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
