"","Sample_Name","Tube_Sample","Sample","Group","Seedling_sp","Mother_sp","Seedling_ID","Soil_ID","Tube_label","Seedling_status_at_collection","Date_sample_collected","Extraction_date","Sample_type","Sample_weight_mg","Notes"
"1","STRI_F_L001","F_L001","L001","FUN",NA,NA,"12855_0820_1_06",NA,"L001","Healthy",20190924,NA,"Sterile leaf",47.2,""
"2","STRI_F_L003","F_L003","L003","FUN",NA,NA,"12855_1901_1_01",NA,"L003","Healthy",20190924,NA,"Sterile leaf",51.5,""
"3","STRI_F_L004","F_L004","L004","FUN",NA,NA,"12855_0820_1_08",NA,"L004","Healthy",20191011,NA,"Sterile leaf",50.4,""
"4","STRI_F_L005","F_L005","L005","FUN",NA,NA,"02512_0820_1_11",NA,"L005","Healthy",20191011,NA,"Sterile leaf",44.1,""
"5","STRI_F_L010","F_L010","L010","FUN",NA,NA,"13665_1901_1_02",NA,"L010","",20190927,NA,"Sterile leaf",49.6,""
"6","STRI_F_L018","F_L018","L018","FUN",NA,NA,"12249_0820_1_05",NA,"L018","",20190927,NA,"Sterile leaf",49.6,""
"7","STRI_F_L025","F_L025","L025","FUN",NA,NA,"12249_0803_1_01",NA,"L025","",20190927,NA,"Sterile leaf",55.4,""
"8","STRI_F_L035","F_L035","L035","FUN",NA,NA,"12525_0407_2_04",NA,"L035","",20191001,NA,"Sterile leaf",57.4,""
"9","STRI_F_L038","F_L038","L038","FUN",NA,NA,"58779_1901_1_01",NA,"L038","",20191001,NA,"Sterile leaf",61.2,""
"10","STRI_F_L050","F_L050","L050","FUN",NA,NA,"01772_0820_1_02",NA,"L050","",20191001,NA,"Sterile leaf",61.5,"Wet sample"
"11","STRI_F_L056","F_L056","L056","FUN",NA,NA,"42320_0820_1_01",NA,"L056","",20190927,NA,"Sterile leaf",51.1,""
"12","STRI_F_L059","F_L059","L059","FUN",NA,NA,"42320_0407_1_01",NA,"L059","",20190927,NA,"Sterile leaf",50.1,""
"13","STRI_F_L062","F_L062","L062","FUN",NA,NA,"03546_0407_2_01",NA,"L062","",20190927,NA,"Sterile leaf",52.8,""
"14","STRI_F_L065","F_L065","L065","FUN",NA,NA,"41607_0803_1_01",NA,"L065","",20190927,NA,"Sterile leaf",14.5,""
"15","STRI_F_L068","F_L068","L068","FUN",NA,NA,"01772_0820_1_01",NA,"L068","",20190927,NA,"Sterile leaf",55.6,""
"16","STRI_F_L071","F_L071","L071","FUN",NA,NA,"13665_0407_1_01",NA,"L071","",20190927,NA,"Sterile leaf",55.7,""
"17","STRI_F_L074","F_L074","L074","FUN",NA,NA,"01401_0820_2_02",NA,"L074","",20190926,NA,"Sterile leaf",59,""
"18","STRI_F_L077","F_L077","L077","FUN",NA,NA,"58779_0820_2_03",NA,"L077","",20190926,NA,"Sterile leaf",26.7,""
"19","STRI_F_L080","F_L080","L080","FUN",NA,NA,"42320_0820_1_06",NA,"L080","",20191011,NA,"Sterile leaf",58.4,""
"20","STRI_F_L085","F_L085","L085","FUN",NA,NA,"42320_1901_2_02",NA,"L085","",20191002,NA,"Sterile leaf",59,""
"21","STRI_F_L091","F_L091","L091","FUN",NA,NA,"42320_0803_2_03",NA,"L091","",20191002,NA,"Sterile leaf",57.4,""
"22","STRI_F_L094","F_L094","L094","FUN",NA,NA,"01401_0407_2_01",NA,"L094","",20191003,NA,"Sterile leaf",50.3,""
"23","STRI_F_L097","F_L097","L097","FUN",NA,NA,"42320_0820_1_07",NA,"L096","",20191011,NA,"Sterile leaf",51.2,""
"24","STRI_F_L101","F_L101","L101","FUN",NA,NA,"12525_0407_2_01",NA,"L101","",20191001,NA,"Sterile leaf",45.3,""
"25","STRI_F_L104","F_L104","L104","FUN",NA,NA,"41346_1901_2_01",NA,"L104","",20190924,NA,"Sterile leaf",59.2,""
"26","STRI_F_L108","F_L108","L108","FUN",NA,NA,"12249_0407_2_01",NA,"L108","",20190920,NA,"Sterile leaf",45.7,""
"27","STRI_F_L112","F_L112","L112","FUN",NA,NA,"02512_0820_2_03",NA,"L112","",20190920,NA,"Sterile leaf",56.1,""
