Seedling_ID,Sample_Name,AdultTag,Seedling_Species,Adult_Species,Status,Tube_Sample,Sample,Group,Date_sample_collected
01401_0407_1_01,STRI_F_R042,1401,DG,HC,Healthy,F_R042,R042,FUN,20191001
01401_0407_1_02,STRI_O_R042,1401,DG,HC,Healthy,O_R042,R042,OOMY,20191001
01401_0407_2_01,STRI_F_R092,1401,DG,HC,Infected,F_R092,R092,FUN,20191003
01401_0407_2_01,STRI_F_L094,1401,DG,HC,Infected,F_L094,L094,FUN,20191003
01401_0803_1_02,STRI_F_L203,1401,HC,HC,Healthy,F_L203,L203,FUN,20191001
01401_0803_1_02,STRI_F_R201,1401,HC,HC,Healthy,F_R201,R201,FUN,20191001
01401_0803_1_04,STRI_F_R151,1401,HC,HC,Healthy,F_R151,R151,FUN,20190828
01401_0803_1_05,STRI_O_R151,1401,HC,HC,Healthy,O_R151,R151,OOMY,20190828
01401_0803_3_01,STRI_F_R217,1401,HC,HC,Natural_Germination,F_R217,R217,FUN,20190814
01401_0820_1_02,STRI_F_R153,1401,HT,HC,Healthy,F_R153,R153,FUN,20190828
01401_0820_1_03,STRI_F_L200,1401,HT,HC,Healthy,F_L200,L200,FUN,20191001
01401_0820_1_05,STRI_F_R152,1401,HT,HC,Healthy,F_R152,R152,FUN,20190828
01401_0820_1_08,STRI_F_R238,1401,HT,HC,Healthy,F_R238,R238,FUN,20190918
01401_0820_1_09,STRI_O_R238,1401,HT,HC,Healthy,O_R238,R238,OOMY,20190918
01401_0820_2_02,STRI_F_R072,1401,HT,HC,Infected,F_R072,R072,FUN,20190926
01401_0820_2_02,STRI_F_L074,1401,HT,HC,Infected,F_L074,L074,FUN,20190926
01401_1901_3_01,STRI_F_R128,1401,SA,HC,Natural_Germination,F_R128,R128,FUN,20190822
01401_1901_3_02,STRI_F_R029,1401,SA,HC,Natural_Germination,F_R029,R029,FUN,20190828
01687_0803_3_01,STRI_F_R123,1687,HC,DG,Natural_Germination,F_R123,R123,FUN,20190826
01687_0803_3_03,STRI_F_R129,1687,HC,DG,Natural_Germination,F_R129,R129,FUN,20190826
01687_0803_3_04,STRI_O_R129,1687,HC,DG,Natural_Germination,O_R129,R129,OOMY,20190826
01687_0820_1_02,STRI_F_R045,1687,HT,DG,Healthy,F_R045,R045,FUN,20191001
