Seedling_ID,Sample_Name,Tube_Sample,Sample,Group,Tube_label,Sample_type,Sample_weight_mg,Seedling_species,Adult_tag,Adult_species,Identifier,Soil_sample_number,Seedling_status_at_collection,Date_seedling_collected,Date_seedling_plated,Date_seedling_stored,Roots_box_position,Roots_sterile_box_positions,Stem_box_position,Stem_sterile_box_position,Leaves_box_position,Leaves_sterile_box_position,Seedling_collection_photo,Seedling_Collector,SequenceRoots,SequenceRootsSterile,SequenceStems,SequenceLeaves,Notes,...24
01401_0407_1_01,STRI_F_R042,F_R042,R042,FUN,UR042,Unsterile root,17.2,DG,1401,HC,1,29,Healthy,20191001,NA,20191002,B1_F5,NA,NA,E_H7,E_B2,E_B3,IMG_4877.JPG,JS,Yes,No,Yes,Yes,Fell over/broken by rainb,NA
01401_0407_2_01,STRI_F_R092,F_R092,R092,FUN,UR092,Unsterile root,32.3,DG,1401,DG,1,NA,Pathogen,20191003,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4936.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
01401_0407_2_01,STRI_F_L094,F_L094,L094,FUN,L094,Sterile leaf,50.3,DG,1401,DG,1,NA,Pathogen,20191003,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4936.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
01401_0803_1_02,STRI_F_L203,F_L203,L203,FUN,L203,Sterile leaf,46,HC,1401,HC,2,28,Healthy,20191001,NA,20191002,B1_8F,A_I6,NA,E_H4,E_B8,E_B9,IMG_4871.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01401_0803_1_02,STRI_F_R201,F_R201,R201,FUN,UR201,Unsterile root,46,HC,1401,HC,2,28,Healthy,20191001,NA,20191002,B1_8F,A_I6,NA,E_H4,E_B8,E_B9,IMG_4871.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01401_0803_1_04,STRI_F_R151,F_R151,R151,FUN,UR151,Unsterile root,3.6,HC,1401,HC,4,NA,Healthy,20190828,NA,NA,1_D6,NA,S_D6,NA,L_D6,NA,IMG_4608.HEIC,DP,Yes,No,No,No,NA,NA
01401_0803_3_01,STRI_F_R217,F_R217,R217,FUN,UR217,Unsterile root,2.5,HC,1401,DG,NA,NA,Healthy,20190814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Status unknown. No indication it was not healthy though,Status unknown. No indication it was not healthy though
01401_0820_1_02,STRI_F_R153,F_R153,R153,FUN,UR153,Unsterile root,8,HT,1401,HC,2,NA,Healthy,20190828,NA,NA,1_E4,NA,S_E4,NA,L_E4,NA,IMG_4607.HEIC,DP,Yes,No,No,No,NA,NA
01401_0820_1_03,STRI_F_L200,F_L200,L200,FUN,L200,Sterile leaf,48,HT,1401,HC,3,34,Healthy,20191001,NA,20191002,B1_2G,E_2,NA,E_H1,H_C5,H_C6,IMG_4873.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01401_0820_1_05,STRI_F_R152,F_R152,R152,FUN,UR152,Unsterile root,2.1,HT,1401,HC,5,NA,Healthy,20190828,NA,NA,1_G1,NA,S_G1,NA,L_H2,NA,IMG_4610.HEIC,DP,Yes,No,No,No,NA,NA
01401_0820_1_08,STRI_F_R238,F_R238,R238,FUN,UR238,Unsterile root,13.1,HT,1401,HC,8,NA,Healthy,20200302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01401_0820_1_08,STRI_F_R238,F_R238,R238,FUN,UR238,Unsterile root,13.1,HT,1401,HC,8,NA,Pathogen,20190918,20190920,NA,B1_B10,A_A5,NA,S_H2,NA,L_G3,IMG_4752.JPG,RP,Yes,Yes,Yes,Yes,"Doesn't say N8 on the bag, but there is no 8 at 1401",NA
01401_0820_2_02,STRI_F_R072,F_R072,R072,FUN,UR072,Unsterile root,4.8,HT,1401,HC,N2,NA,Pathogen,20190926,20190929,20190929,B1_2E,NA,NA,B_G6,NA,B_D1,IMG_4851.JPG,RP,Yes,No,Yes,Yes,"Bag says HTC, but looks like HT",NA
01401_0820_2_02,STRI_F_L074,F_L074,L074,FUN,L074,Sterile leaf,59,HT,1401,HC,N2,NA,Pathogen,20190926,20190929,20190929,B1_2E,NA,NA,B_G6,NA,B_D1,IMG_4851.JPG,RP,Yes,No,Yes,Yes,"Bag says HTC, but looks like HT",NA
01401_1901_3_01,STRI_F_R128,F_R128,R128,FUN,UR128,Unsterile root,28.3,SA,1401,HC,N,NA,Healthy,20190822,NA,NA,1_G8,NA,S_G8,NA,L_G8,NA,IMG_4338.HEIC,DP,Yes,No,No,No,NA,NA
01401_1901_3_02,STRI_F_R029,F_R029,R029,FUN,UR029,Unsterile root,8.1,SA,1401,HC,N,NA,Healthy,20190828,NA,NA,1_F7,NA,S_F7,NA,L_F7,NA,IMG_4615.HEIC,DP,Yes,No,No,No,NA,NA
01687_0803_3_01,STRI_F_R123,F_R123,R123,FUN,UR123,Unsterile root,4.4,HC,1687,DG,N,NA,Healthy,20190826,NA,NA,1_E8,NA,S_E8,NA,L_E8,NA,IMG_4450.HEIC,DP,Yes,No,No,No,NA,NA
01687_0820_1_02,STRI_F_R045,F_R045,R045,FUN,UR045,Unsterile root,41.9,HT,1687,DG,2,31,Healthy,20191001,NA,20191002,B1_9F,A_I8,NA,E_H3,E_C1,E_C2,IMG_4880.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01687_0820_1_04,STRI_F_L209,F_L209,L209,FUN,L209,Sterile leaf,49,HT,1687,DG,4,NA,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4933.JPG,JS,Yes,Yes,Yes,Yes,Looks like it may be in a pathogen bag,NA
01687_0820_1_04,STRI_F_R207,F_R207,R207,FUN,UR207,Unsterile root,13,HT,1687,DG,4,NA,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4933.JPG,JS,Yes,Yes,Yes,Yes,Looks like it may be in a pathogen bag,NA
01687_0820_1_08,STRI_F_R173,F_R173,R173,FUN,UR173,Unsterile root,5,HT,1687,DG,8,NA,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4930.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0407_1_02,STRI_F_L170,F_L170,L170,FUN,L170,Sterile leaf,38,DG,1772,HC,2,NA,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4928.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0407_1_02,STRI_F_R172,F_R172,R172,FUN,UR172,Unsterile root,6,DG,1772,HC,2,NA,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4928.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0407_1_03,STRI_F_L197,F_L197,L197,FUN,L197,Sterile leaf,58,DG,1772,HC,3,37,Pathogen,20191001,NA,20191002,B1_4E,A_G2,NA,E_H2,E_C3,E_C4,IMG_4878.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
