Sample Name,Tube Sample Name,Group,Seedling_ID,Soil_ID,Tube_label,Extraction_date,Sample_type,Sample_weight_mg,Notes
STRI_F_S026,F_S026,FUN,NA,1,S026,20191113,Soil,254.1,
STRI_A_S026,A_S026,AMF,NA,1,S026,20191113,Soil,254.1,
STRI_O_S026,O_S026,OOMY,NA,1,S026,20191113,Soil,254.1,
STRI_F_S025,F_S025,FUN,NA,2,S025,20191113,Soil,255.8,
STRI_A_S025,A_S025,AMF,NA,2,S025,20191113,Soil,255.8,
STRI_O_S025,O_S025,OOMY,NA,2,S025,20191113,Soil,255.8,
STRI_F_S045,F_S045,FUN,NA,2,S045,20191116,Soil,250,
STRI_A_S045,A_S045,AMF,NA,2,S045,20191116,Soil,250,
STRI_O_S045,O_S045,OOMY,NA,2,S045,20191116,Soil,250,
STRI_F_S024,F_S024,FUN,NA,6,S024,20191113,Soil,252.3,
STRI_A_S024,A_S024,AMF,NA,6,S024,20191113,Soil,252.3,
STRI_F_S023,F_S023,FUN,NA,10,S023,20191113,Soil,257.9,
STRI_A_S023,A_S023,AMF,NA,10,S023,20191113,Soil,257.9,
STRI_F_S021,F_S021,FUN,NA,12,S021,20191113,Soil,256.2,
STRI_A_S021,A_S021,AMF,NA,12,S021,20191113,Soil,256.2,
STRI_F_S022,F_S022,FUN,NA,13,S022,20191113,Soil,253.1,
STRI_O_S022,O_S022,OOMY,NA,13,S022,20191113,Soil,253.1,
STRI_F_S032,F_S032,FUN,NA,14,S032,20191113,Soil,257.4,
STRI_A_S032,A_S032,AMF,NA,14,S032,20191113,Soil,257.4,
STRI_O_S032,O_S032,OOMY,NA,14,S032,20191113,Soil,257.4,
STRI_F_S033,F_S033,FUN,NA,16,S033,20191113,Soil,258.2,
STRI_A_S033,A_S033,AMF,NA,16,S033,20191113,Soil,258.2,
STRI_O_S033,O_S033,OOMY,NA,16,S033,20191113,Soil,258.2,
STRI_F_S031,F_S031,FUN,NA,17,S031,20191113,Soil,253,
STRI_A_S031,A_S031,AMF,NA,17,S031,20191113,Soil,253,
STRI_O_S031,O_S031,OOMY,NA,17,S031,20191113,Soil,253,
STRI_F_S029,F_S029,FUN,NA,18,S029,20191113,Soil,254.8,
STRI_A_S029,A_S029,AMF,NA,18,S029,20191113,Soil,254.8,
STRI_O_S029,O_S029,OOMY,NA,18,S029,20191113,Soil,254.8,
STRI_F_S007,F_S007,FUN,NA,19,S007,20191112,Soil,256.8,
STRI_A_S007,A_S007,AMF,NA,19,S007,20191112,Soil,256.8,
STRI_O_S007,O_S007,OOMY,NA,19,S007,20191112,Soil,256.8,
STRI_F_S030,F_S030,FUN,NA,20,S030,20191113,Soil,255.7,
STRI_A_S030,A_S030,AMF,NA,20,S030,20191113,Soil,255.7,
STRI_O_S030,O_S030,OOMY,NA,20,S030,20191113,Soil,255.7,
STRI_F_S028,F_S028,FUN,NA,21,S028,20191113,Soil,252.1,
STRI_O_S028,O_S028,OOMY,NA,21,S028,20191113,Soil,252.1,
STRI_F_S035,F_S035,FUN,NA,22,S035,20191113,Soil,255.9,
STRI_A_S035,A_S035,AMF,NA,22,S035,20191113,Soil,255.9,
STRI_O_S035,O_S035,OOMY,NA,22,S035,20191113,Soil,255.9,
STRI_O_S043,O_S043,OOMY,NA,23,S043,20191116,Soil,250,
STRI_F_S047,F_S047,FUN,NA,24,S047,20191116,Soil,250,
STRI_A_S047,A_S047,AMF,NA,24,S047,20191116,Soil,250,
STRI_F_S001,F_S001,FUN,NA,25,S001,20191112,Soil,253.7,
STRI_A_S001,A_S001,AMF,NA,25,S001,20191112,Soil,253.7,
STRI_O_S001,O_S001,OOMY,NA,25,S001,20191112,Soil,253.7,
STRI_F_S044,F_S044,FUN,NA,26,S044,20191116,Soil,250,
STRI_A_S044,A_S044,AMF,NA,26,S044,20191116,Soil,250,
STRI_O_S044,O_S044,OOMY,NA,26,S044,20191116,Soil,250,
STRI_F_S006,F_S006,FUN,NA,27,S006,20191112,Soil,254.2,
STRI_A_S006,A_S006,AMF,NA,27,S006,20191112,Soil,254.2,
STRI_O_S006,O_S006,OOMY,NA,27,S006,20191112,Soil,254.2,
STRI_O_S005,O_S005,OOMY,NA,28,S005,20191112,Soil,255.2,
STRI_F_S048,F_S048,FUN,NA,29,S048,20191116,Soil,250,
STRI_F_S003,F_S003,FUN,NA,31,S003,20191112,Soil,257.8,
STRI_A_S003,A_S003,AMF,NA,31,S003,20191112,Soil,257.8,
STRI_F_S019,F_S019,FUN,NA,32,S019,20191113,Soil,237.5,
STRI_F_S014,F_S014,FUN,NA,33,S014,20191113,Soil,250.1,
STRI_A_S014,A_S014,AMF,NA,33,S014,20191113,Soil,250.1,
STRI_O_S014,O_S014,OOMY,NA,33,S014,20191113,Soil,250.1,
STRI_F_S009,F_S009,FUN,NA,34,S009,20191112,Soil,256,
STRI_A_S009,A_S009,AMF,NA,34,S009,20191112,Soil,256,
STRI_O_S009,O_S009,OOMY,NA,34,S009,20191112,Soil,256,
STRI_F_S016,F_S016,FUN,NA,35,S016,20191113,Soil,254.5,
STRI_A_S016,A_S016,AMF,NA,35,S016,20191113,Soil,254.5,
STRI_F_S013,F_S013,FUN,NA,36,S013,20191113,Soil,256.1,
STRI_A_S013,A_S013,AMF,NA,36,S013,20191113,Soil,256.1,
STRI_O_S013,O_S013,OOMY,NA,36,S013,20191113,Soil,256.1,
STRI_F_S012,F_S012,FUN,NA,37,S012,20191112,Soil,256.5,
STRI_A_S012,A_S012,AMF,NA,37,S012,20191112,Soil,256.5,
STRI_O_S012,O_S012,OOMY,NA,37,S012,20191112,Soil,256.5,
STRI_F_S018,F_S018,FUN,NA,38,S018,20191113,Soil,258.5,
STRI_A_S018,A_S018,AMF,NA,38,S018,20191113,Soil,258.5,
STRI_F_S010,F_S010,FUN,NA,39,S010,20191112,Soil,252.2,
STRI_A_S010,A_S010,AMF,NA,39,S010,20191112,Soil,252.2,
STRI_O_S010,O_S010,OOMY,NA,39,S010,20191112,Soil,252.2,
STRI_F_S015,F_S015,FUN,NA,40,S015,20191113,Soil,256.1,
STRI_A_S015,A_S015,AMF,NA,40,S015,20191113,Soil,256.1,
STRI_O_S015,O_S015,OOMY,NA,40,S015,20191113,Soil,256.1,
STRI_F_S011,F_S011,FUN,NA,41,S011,20191112,Soil,252,
STRI_A_S011,A_S011,AMF,NA,41,S011,20191112,Soil,252,
STRI_O_S011,O_S011,OOMY,NA,41,S011,20191112,Soil,252,
STRI_F_S002,F_S002,FUN,NA,42,S002,20191112,Soil,252.5,
STRI_A_S002,A_S002,AMF,NA,42,S002,20191112,Soil,252.5,
STRI_O_S002,O_S002,OOMY,NA,42,S002,20191112,Soil,252.5,
STRI_F_S008,F_S008,FUN,NA,43,S008,20191112,Soil,256.4,
STRI_A_S008,A_S008,AMF,NA,43,S008,20191112,Soil,256.4,
STRI_O_S008,O_S008,OOMY,NA,43,S008,20191112,Soil,256.4,
STRI_F_S004,F_S004,FUN,NA,44,S004,20191112,Soil,254.2,
STRI_A_S004,A_S004,AMF,NA,44,S004,20191112,Soil,254.2,
STRI_F_S017,F_S017,FUN,NA,45,S017,20191113,Soil,253.5,
STRI_A_S017,A_S017,AMF,NA,45,S017,20191113,Soil,253.5,
STRI_F_S020,F_S020,FUN,NA,46,S020,20191113,Soil,252.4,
STRI_F_S027,F_S027,FUN,NA,55,S027,20191113,Soil,256.8,
STRI_A_S027,A_S027,AMF,NA,55,S027,20191113,Soil,256.8,
STRI_O_S027,O_S027,OOMY,NA,55,S027,20191113,Soil,256.8,
STRI_F_S034,F_S034,FUN,NA,56,S034,20191113,Soil,258,
STRI_A_S034,A_S034,AMF,NA,56,S034,20191113,Soil,258,
STRI_F_S052,F_S052,FUN,NA,58,S052,20191116,Soil,250,
STRI_A_S052,A_S052,AMF,NA,58,S052,20191116,Soil,250,
STRI_O_S052,O_S052,OOMY,NA,58,S052,20191116,Soil,250,
STRI_F_S058,F_S058,FUN,NA,58,S058,20191116,Soil,250,
STRI_A_S058,A_S058,AMF,NA,58,S058,20191116,Soil,250,
STRI_O_S058,O_S058,OOMY,NA,58,S058,20191116,Soil,250,
STRI_F_S051,F_S051,FUN,NA,59,S051,20191116,Soil,250,
STRI_A_S051,A_S051,AMF,NA,59,S051,20191116,Soil,250,
