"","Seedling_ID","Sample_Name","Tube_Sample","Sample","Group","Seedling_sp","Mother_sp","Soil_ID","Tube_label","Seedling_status_at_collection.x","Date_sample_collected","Extraction_date","Sample_type","Sample_weight_mg","Seedling_species","Adult_tag","Adult_species","Identifier","Soil_sample_number","Seedling_status_at_collection.y","Date_seedling_collected","Date_seedling_plated","Date_seedling_stored","Roots_box_position","Roots_sterile_box_positions","Stem_box_position","Stem_sterile_box_position","Leaves_box_position","Leaves_sterile_box_position","Seedling_collection_photo","Seedling_Collector","SequenceRoots","SequenceRootsSterile","SequenceStems","SequenceLeaves","Notes","...24"
"1","01401_0407_1_01","STRI_F_R042","F_R042","R042","FUN",NA,NA,"NA","UR042",NA,20191001,NA,"Unsterile root","17.2","DG",1401,"HC","1","29","Healthy","20191001",NA,20191002,"B1_F5","NA","NA","E_H7","E_B2","E_B3","IMG_4877.JPG","JS","Yes","No","Yes","Yes","Fell over/broken by rainb",NA
"2","01401_0407_2_01","STRI_F_R092","F_R092","R092","FUN",NA,NA,"NA","UR092",NA,20191003,NA,"Unsterile root","32.299999999999997","DG",1401,"DG","1",NA,"Pathogen","20191003","20191006",20191006,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4936.JPG","RP","Yes","Yes","Yes","Yes",NA,NA
"3","01401_0407_2_01","STRI_F_L094","F_L094","L094","FUN",NA,NA,"NA","L094",NA,20191003,NA,"Sterile leaf","50.3","DG",1401,"DG","1",NA,"Pathogen","20191003","20191006",20191006,"Bag","Bag","Bag","Bag","Bag","Bag","IMG_4936.JPG","RP","Yes","Yes","Yes","Yes",NA,NA
"4","01401_0803_1_02","STRI_F_L203","F_L203","L203","FUN",NA,NA,"NA","L203",NA,20191001,NA,"Sterile leaf","46","HC",1401,"HC","2","28","Healthy","20191001",NA,20191002,"B1_8F","A_I6","NA","E_H4","E_B8","E_B9","IMG_4871.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"5","01401_0803_1_02","STRI_F_R201","F_R201","R201","FUN",NA,NA,"NA","UR201",NA,20191001,NA,"Unsterile root","46","HC",1401,"HC","2","28","Healthy","20191001",NA,20191002,"B1_8F","A_I6","NA","E_H4","E_B8","E_B9","IMG_4871.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"6","01401_0803_1_04","STRI_F_R151","F_R151","R151","FUN",NA,NA,"NA","UR151",NA,20190828,NA,"Unsterile root","3.6","HC",1401,"HC","4",NA,"Healthy","20190828",NA,NA,"1_D6","NA","S_D6","NA","L_D6","NA","IMG_4608.HEIC","DP","Yes","No","No","No",NA,NA
"7","01401_0803_3_01","STRI_F_R217","F_R217","R217","FUN",NA,NA,"NA","UR217",NA,20190814,NA,"Unsterile root","2.5","HC",1401,"DG","NA","NA","Healthy","20190814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Status unknown. No indication it was not healthy though","Status unknown. No indication it was not healthy though"
"8","01401_0820_1_02","STRI_F_R153","F_R153","R153","FUN",NA,NA,"NA","UR153",NA,20190828,NA,"Unsterile root","8","HT",1401,"HC","2",NA,"Healthy","20190828",NA,NA,"1_E4","NA","S_E4","NA","L_E4","NA","IMG_4607.HEIC","DP","Yes","No","No","No",NA,NA
"9","01401_0820_1_03","STRI_F_L200","F_L200","L200","FUN",NA,NA,"NA","L200",NA,20191001,NA,"Sterile leaf","48","HT",1401,"HC","3","34","Healthy","20191001",NA,20191002,"B1_2G","E_2","NA","E_H1","H_C5","H_C6","IMG_4873.JPG","JS","Yes","Yes","Yes","Yes",NA,NA
"10","01401_0820_1_05","STRI_F_R152","F_R152","R152","FUN",NA,NA,"NA","UR152",NA,20190828,NA,"Unsterile root","2.1","HT",1401,"HC","5",NA,"Healthy","20190828",NA,NA,"1_G1","NA","S_G1","NA","L_H2","NA","IMG_4610.HEIC","DP","Yes","No","No","No",NA,NA
