OTU_ID	STRI_O_R003	STRI_O_R004	STRI_O_R007	STRI_O_R011	STRI_O_R015	STRI_O_R036	STRI_O_R042	STRI_O_R045	STRI_O_R057	STRI_O_R086	STRI_O_R089	STRI_O_R102	STRI_O_R115	STRI_O_R118	STRI_O_R124	STRI_O_R129	STRI_O_R130	STRI_O_R131	STRI_O_R133	STRI_O_R136	STRI_O_R139	STRI_O_R140	STRI_O_R147	STRI_O_R151	STRI_O_R154	STRI_O_R158	STRI_O_R172	STRI_O_R210	STRI_O_R216	STRI_O_R227	STRI_O_R238	STRI_O_R247	STRI_O_R257	STRI_O_S001	STRI_O_S002	STRI_O_S005	STRI_O_S006	STRI_O_S007	STRI_O_S008	STRI_O_S009	STRI_O_S010	STRI_O_S011	STRI_O_S012	STRI_O_S013	STRI_O_S014	STRI_O_S015	STRI_O_S022	STRI_O_S025	STRI_O_S026	STRI_O_S027	STRI_O_S028	STRI_O_S029	STRI_O_S030	STRI_O_S031	STRI_O_S032	STRI_O_S033	STRI_O_S035	STRI_O_S036	STRI_O_S038	STRI_O_S039	STRI_O_S040	STRI_O_S041	STRI_O_S042	STRI_O_S043	STRI_O_S044	STRI_O_S045	STRI_O_S049	STRI_O_S051	STRI_O_S052	STRI_O_S053	STRI_O_S054	STRI_O_S055	STRI_O_S056	STRI_O_S057	STRI_O_S058	STRI_O_S059	STRI_O_S060	STRI_O_S061	STRI_O_S062	STRI_O_S063	STRI_O_SN1	STRI_O_SN2	STRI_O_T20	STRI_O_T21	STRI_O_T22	STRI_O_T23	STRI_O_T24	STRI_O_T25	STRI_O_T26	STRI_O_T27	STRI_O_T28	STRI_O_T29	STRI_O_T30	STRI_O_T31	STRI_O_T32	STRI_O_T33	STRI_O_T34	STRI_O_T35	STRI_O_T36	STRI_O_T37	STRI_O_T38	STRI_O_T39	STRI_O_T41	STRI_O_T42	STRI_O_T43	STRI_O_T44	STRI_O_T45	STRI_O_T46	STRI_O_T47	STRI_O_T48	STRI_O_T49	STRI_O_T50	STRI_O_T51	STRI_O_T55	STRI_O_T56	STRI_O_T57	STRI_O_T58	STRI_O_T59	STRI_O_TN1	STRI_O_TN2
GU133579.1	6411	11	0	12	8607	0	13	29	25	635	0	19	24115	3561	21607	8	18	0	15	5532	405	159	83	0	20	0	14	68	20234	1508	15	0	113	0	0	0	0	3652	16582	0	9942	11	26	24	3171	0	16	2364	10124	20576	23	4473	9	13755	17	14114	18	526	6280	4637	3569	11	3193	37	15	246	3119	376	0	8	2983	7434	28	5789	3759	0	0	8	16581	12025	1752	639	2324	0	2199	0	4246	11	110	0	25	0	20323	19707	1212	68	24	184	3632	26	0	2529	21	13	30	9	15	0	5349	96	10096	8530	4295	0	4132	0	0	6812	3008	162
AB780634.1	9106	13996	14657	0	11	8	770	9	13	5	12	12	14	0	22	14	14	17834	9324	0	5	9	7	8	13	13	21484	9	7	3	0	0	31	13	10	6	15320	18	17	22	6788	10945	15052	6507	336	11	0	13	12037	1820	13428	8	19	8	477	15	14	6	15	1691	4780	7744	11	13	0	14	3903	10239	2743	26	279	18	4784	149	4	5	1053	2591	1546	10	89	910	12	4333	0	13	10077	8	3083	5989	6	11	237	13	47	975	957	32	6716	10	8135	3694	6164	2831	3049	11444	4798	1513	7411	8724	7336	39	5256	9737	12916	13	13578	8084	656	17
AF266780.1	15	6	0	0	0	23162	8641	0	8	0	0	0	0	0	0	0	0	0	0	0	0	22015	0	0	0	0	0	0	0	26158	0	9	0	0	0	6	0	14	0	10	0	0	3664	12	0	4	0	0	11	0	0	0	14	0	0	0	0	0	0	0	6	112	0	0	11	0	0	0	0	0	3992	9	0	0	0	15597	1445	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	12	0	9	0	0	0	8	0	5	0	0	41	0	0	30	0	0	0	0	0	0	21	0
EU334493.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16246	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
DQ464047.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB906340.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	11	0	0	0	0	0	0	0	795	0	0	0	0	0	0	0	0	0	141	120	0	0	0	0	90	217	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	48	0	0	108	0	5	77	0	0	0	0	0	0	0	0	15	0	153	42	138	0	0	252	0	2	47	0	0	0	0	0	0	0	78	5	0	0
KU724186.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB219385.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
AB285501.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC602489.1	0	0	0	0	0	0	0	0	0	2	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	7	0	0	0	0	0	0	0	5	0	0	0	0	34	0	0	0	0	0	0	0	8	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
